                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
134,0.8475,0.6036,1.156,0.875,0.804,0.845,0.505,0.0,0.0,0.0,0.0,0.0,0.0
135,0.8488,0.611,1.153,0.875,0.805,0.846,0.506,0.0,0.0,0.0,0.0,0.0,0.0
136,0.8464,0.6034,1.152,0.878,0.808,0.845,0.507,0.0,0.0,0.0,0.0,0.0,0.0
137,0.8424,0.6008,1.15,0.878,0.808,0.845,0.506,0.0,0.0,0.0,0.0,0.0,0.0
138,0.8413,0.5952,1.146,0.882,0.803,0.845,0.506,0.0,0.0,0.0,0.0,0.0,0.0
139,0.8381,0.5943,1.145,0.884,0.807,0.845,0.506,0.0,0.0,0.0,0.0,0.0,0.0
140,0.8352,0.5961,1.144,0.886,0.808,0.845,0.506,0.0,0.0,0.0,0.0,0.0,0.0
141,0.831,0.5888,1.143,0.886,0.808,0.845,0.506,0.0,0.0,0.0,0.0,0.0,0.0
142,0.8298,0.5833,1.141,0.884,0.809,0.846,0.506,0.0,0.0,0.0,0.0,0.0,0.0
143,0.8276,0.5768,1.14,0.894,0.809,0.844,0.504,0.0,0.0,0.0,0.0,0.0,0.0
144,0.8315,0.5851,1.143,0.901,0.809,0.843,0.505,0.0,0.0,0.0,0.0,0.0,0.0
145,0.8203,0.5722,1.135,0.899,0.809,0.844,0.505,0.0,0.0,0.0,0.0,0.0,0.0
146,0.8271,0.5813,1.138,0.902,0.81,0.846,0.506,0.0,0.0,0.0,0.0,0.0,0.0
147,0.8243,0.5794,1.135,0.896,0.811,0.846,0.504,0.0,0.0,0.0,0.0,0.0,0.0
148,0.817,0.5752,1.132,0.897,0.812,0.847,0.507,0.0,0.0,0.0,0.0,0.0,0.0
149,0.8171,0.5761,1.134,0.893,0.812,0.847,0.505,0.0,0.0,0.0,0.0,0.0,0.0
150,0.8171,0.5727,1.136,0.891,0.813,0.847,0.506,0.0,0.0,0.0,0.0,0.0,0.0
151,0.812,0.5714,1.133,0.889,0.816,0.847,0.507,0.0,0.0,0.0,0.0,0.0,0.0
152,0.8032,0.5601,1.126,0.882,0.811,0.854,0.509,0.0,0.0,0.0,0.0,0.0,0.0
